Final Column,Original Column,Note,Date Created,Group,Votes,Retro Date,Technique Name,Wrap Up Participants,Wrap Up Average Rating
Mad,Mad,,2022-11-28T04:28:20.416Z,,0,2022-11-30T01:57:37.896Z,"Mad, Sad, Glad",1,3
Mad,Mad,Hard to implement month based visualizations,2022-11-28T05:19:42.255Z,,0,2022-11-30T01:57:37.896Z,"Mad, Sad, Glad",1,3
Sad,Sad,,2022-11-28T05:36:45.163Z,,0,2022-11-30T01:57:37.896Z,"Mad, Sad, Glad",1,3
Mad,Mad,"It was hard to start from scratch for the javascript file to implement the functions of the expense table at first since before in the labs, we were given all the starter codes and instructions",2022-11-28T22:44:35.438Z,,1,2022-11-30T01:57:37.896Z,"Mad, Sad, Glad",1,3
Sad,Sad,"When I realized that my interpretation of the functions of the buttons are wrong, I need to re-write several blocks of codes.",2022-11-28T22:46:28.603Z,,2,2022-11-30T01:57:37.896Z,"Mad, Sad, Glad",1,3
Glad,Glad,"When our codes finally could work, I was so excited. Also, when our group's status video got selected to present to the whole class, I was excited too.",2022-11-28T22:52:11.913Z,,1,2022-11-30T01:57:37.896Z,"Mad, Sad, Glad",1,3
Mad,Mad,"For the last iteration, our TA did not show up on time. My teammates and I always got late heads-up so we could not use our group meeting time most effectively. ",2022-11-29T00:43:41.540Z,,1,2022-11-30T01:57:37.896Z,"Mad, Sad, Glad",1,3
Sad,Sad,"For the last iteration, I was not really disappointed at anything but I felt like the end of quarter is coming up super fast. It would have been better if we had more time to work on the project to make our website more professional.",2022-11-29T00:47:09.220Z,,4,2022-11-30T01:57:37.896Z,"Mad, Sad, Glad",1,3
Glad,Glad,"For the last iteration, I was really excited to see that all of the teammates are contributing and making a lot of efficient progress toward the end of our project",2022-11-29T01:22:50.664Z,,4,2022-11-30T01:57:37.896Z,"Mad, Sad, Glad",1,3
Mad,Mad,"because we all worked on different features, the layout turned out to be a little messy and all the incorrect margins/uncentered texts made the page look not so pretty, which was irritating to look at, but it's easily fixable",2022-11-29T02:08:48.993Z,,1,2022-11-30T01:57:37.896Z,"Mad, Sad, Glad",1,3
Sad,Sad,my partner and i didn't have that much time the past week to make huge progress on our feature but we still worked on it a little and did other tasks for the project,2022-11-29T02:10:18.000Z,,4,2022-11-30T01:57:37.896Z,"Mad, Sad, Glad",1,3
Mad,Mad,"we found out about the updated grading rubric a little late (later than the other groups because I heard it from other people first and asked our TA about it and she responded with the old rubric, then a few days later she told us the rubric changed)",2022-11-29T02:10:23.747Z,,1,2022-11-30T01:57:37.896Z,"Mad, Sad, Glad",1,3
Glad,Glad,"i have a great team and we all work very well together, everyone cooperates whenever something suddenly comes up and needs our attention immediately!",2022-11-29T02:13:36.253Z,,4,2022-11-30T01:57:37.896Z,"Mad, Sad, Glad",1,3
Mad,Mad,There wasn't anything frustrating in the last iteration as far as I can remember.,2022-11-29T04:41:40.263Z,,0,2022-11-30T01:57:37.896Z,"Mad, Sad, Glad",1,3
Sad,Sad,"I think I was a little disappointed at myself that I couldn't make as much progress as I wanted to because of my other commitments. ",2022-11-29T04:44:23.813Z,,4,2022-11-30T01:57:37.896Z,"Mad, Sad, Glad",1,3
Glad,Glad,Seeing the progress that the team has made so far was pretty exciting. I'm glad that all of us contributed and have been working on the project as a team seamlessly.,2022-11-29T04:46:02.529Z,,1,2022-11-30T01:57:37.896Z,"Mad, Sad, Glad",1,3
